series,lead_bucket,mae,rmse,bias,n
wlp (tide-only baseline),0-1h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),1-2h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),2-3h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),3-6h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),6-12h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),12-18h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),18-24h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),24-30h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),30-36h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),36-42h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),42-48h,8.22,8.89,-2.3,73.0
wlp (tide-only baseline),48-54h,8.22,8.89,-2.3,73.0
